timestamp,Value_forecast,zscore_forecast,rolling_mean_forecast,rolling_std_forecast,first_difference_forecast
2023-10-21T00:00:00,128.2598114013672,1.0379958152770996,131.31484985351562,5.244290351867676,-1.236106276512146
2023-10-22T00:00:00,129.97274780273438,1.1007599830627441,131.2200469970703,5.489952087402344,3.2888541221618652
2023-10-23T00:00:00,130.2128448486328,1.10955810546875,130.71115112304688,5.285351753234863,-1.1713426113128662
2023-10-24T00:00:00,131.545166015625,1.1583764553070068,130.7271728515625,3.83449125289917,3.7080941200256348
2023-10-25T00:00:00,128.55078125,1.0486574172973633,130.08905029296875,3.1265268325805664,1.9685099124908447
2023-10-26T00:00:00,132.72073364257812,1.201451063156128,130.04574584960938,2.9688031673431396,2.03189754486084
2023-10-27T00:00:00,131.7779083251953,1.1669044494628906,129.9971466064453,2.8890156745910645,3.790031909942627
2023-10-28T00:00:00,128.8192596435547,1.0584948062896729,129.9675750732422,3.0875296592712402,2.141606330871582
2023-10-29T00:00:00,130.9783477783203,1.1376073360443115,129.95016479492188,3.216874122619629,-0.7719117999076843
2023-10-30T00:00:00,129.1248779296875,1.0696930885314941,130.07958984375,3.64823579788208,-0.7671509385108948
2023-10-31T00:00:00,130.1668701171875,1.1078736782073975,130.72914123535156,4.588278770446777,-3.714750289916992
2023-11-01T00:00:00,127.58078002929688,1.0131146907806396,130.119140625,5.842713356018066,8.968440055847168
2023-11-02T00:00:00,130.0427703857422,1.1033260822296143,130.6927490234375,6.316317081451416,-10.097375869750977
2023-11-03T00:00:00,128.7752685546875,1.056882619857788,130.6262664794922,6.535479545593262,-4.047327995300293
2023-11-04T00:00:00,127.44638061523438,1.0081901550292969,130.6006317138672,6.752427101135254,3.80332612991333
2023-11-05T00:00:00,127.38075256347656,1.0057854652404785,130.58322143554688,6.183244228363037,1.159033179283142
2023-11-06T00:00:00,128.3609161376953,1.0417001247406006,130.71469116210938,5.817594051361084,0.2976624369621277
2023-11-07T00:00:00,127.81416320800781,1.0216662883758545,130.0874786376953,5.237790107727051,5.425175666809082
2023-11-08T00:00:00,129.20040893554688,1.0724601745605469,130.72601318359375,5.495203971862793,2.6532068252563477
2023-11-09T00:00:00,130.65623474121094,1.1258044242858887,130.02883911132812,4.512805938720703,1.721455454826355
2023-11-10T00:00:00,131.3742218017578,1.1521124839782715,130.60745239257812,5.381895065307617,-6.2891950607299805
2023-11-11T00:00:00,132.10397338867188,1.178851842880249,130.58181762695312,5.342894554138184,-2.5244359970092773
2023-11-12T00:00:00,129.29605102539062,1.075965404510498,130.5644073486328,5.253032207489014,1.1253383159637451
